Trail ID,MS Dynamics case number,Resolution Category,Missed TAT Reason,Country,Status
2983601,CAS-2997514-R8C9V1,Change Request Implemented, ,Belgium,REJECTED,
2981244,CAS-3155198-L8M8N1,Change Request Implemented, ,Argentina,COMPLETED,
2991372,CAS-3178298-G4K9M6,Change Request Implemented, ,Czech Republic,COMPLETED,
151763,CAS-3184431-X6J9M0,Change Request Implemented,,SPAIN,COMPLETED,
151743,CAS-3184401-H4Z7P8,Change Request Implemented,,SPAIN,COMPLETED,
2992579,CAS-3202384-J1Q7Y2,Change Request Implemented, ,Israel,COMPLETED,
2991665,CAS-3210076-N0R6Y7,Change Request Implemented, ,United States,COMPLETED,
2993096,CAS-3213128-K3C4R3,Change Request Implemented, ,Sweden,COMPLETED,
2993231,CAS-3215657-Z6C2F4,Change Request Implemented, ,United Arab Emirates,COMPLETED,
2994238,CAS-3232611-T0K0T7,Change Request Implemented,Bo Delay/SAP ISSUES/ FYE,South Africa,COMPLETED,
2994595,CAS-3245406-V3D4P4,Change Request Implemented,BDN from backoffice/sap issue 1.11.2019,Spain,COMPLETED,
2876212,CAS-3248465-T3X9B2,Change Request Implemented,,United States,COMPLETED,
2876227,CAS-3248424-P4P1D3,Change Request Implemented,,United States,COMPLETED,
2876232,CAS-3248413-K3R9L0,Change Request Implemented,,United States,COMPLETED,
2876237,CAS-3248720-H3S3Y0,Change Request Implemented,,United States,COMPLETED,
2857317,CAS-3248710-Z9S4L6,Change Request Implemented,,Mexico,COMPLETED,
2991327,CAS-3250417-T6Y6V6,Change Request Implemented,1,Japan,COMPLETED,
2991336,CAS-3250623-R5P1J9,Change Request Implemented,1,Japan,COMPLETED,
2994924,CAS-3250815-W9W8W6,Change Request Implemented, ,France,COMPLETED,
2991477,CAS-3250970-W9X9P3,Change Request Implemented,1,Japan,COMPLETED,
2994975,CAS-3251456-V1B5Y0,Change Request Implemented, ,Italy,COMPLETED,
2975026,CAS-3199752-T8N4M4,Change Request Implemented,Duplicate case,Canada,COMPLETED,
2994995,CAS-3295772-J3W0C0,Change Request Implemented,BO delay,Russia,COMPLETED,
2995046,CAS-3254994-M9K1R5,Change Request Implemented, ,Germany,COMPLETED,
2993168,CAS-3256473-B7R4Y9,Change Request Implemented, ,United States,COMPLETED,
222606,CAS-3256872-F2V9S8,Change Request Implemented,Query raised for serial active in contract and coverage period confirmation.,United States,COMPLETED,
2991766,CAS-3258840-D8J0M8,Change Request Implemented,1,Japan,COMPLETED,
2991805,CAS-3259710-K1F6M2,Change Request Implemented,1,Japan,COMPLETED,
2992161,CAS-3260729-H0V4M3,Change Request Implemented,1,Japan,COMPLETED,
2995230,CAS-3262565-L7X3V1,Change Request Implemented, ,Sweden,COMPLETED,
2995430,CAS-3271397-S8L7G9,Change Request Implemented,FO delay,Turkey,COMPLETED,
2993181,CAS-3272694-B5S5V2,Change Request Implemented, ,United States,COMPLETED,
2995525,CAS-3274220-J4D4F6,Change Request Implemented,Working on case 2996175. Sales requested amendments.,Russia,COMPLETED,
2995559,CAS-3275070-S5Y5X9,Change Request Implemented, ,Cyprus,COMPLETED,
2993148,CAS-3275229-V0X4R1,Change Request Implemented, ,United States,COMPLETED,
2993432,CAS-3275851-K1S4X2,Change Request Implemented,Credits RDD  nov 5th,United States,COMPLETED,
2946345,CAS-3276646-Q1S1Q7,Change Request Implemented, ,Brazil,COMPLETED,
2985274,CAS-3277299-S2Z6Y3,Change Request Implemented, ,Mexico,COMPLETED,
2985305,CAS-3277382-V9X1M7,Change Request Implemented, ,Mexico,COMPLETED,
2985528,CAS-3277692-G6V1G2,Change Request Implemented, ,Mexico,COMPLETED,
2985645,CAS-3277829-G8Q5M3,Change Request Implemented, ,Mexico,COMPLETED,
2985650,CAS-3277948-N7G5P1,Change Request Implemented, ,Mexico,COMPLETED,
2985651,CAS-3278060-X8S3W1,Change Request Implemented, ,Mexico,COMPLETED,
2993191,CAS-3278127-R6Q3G5,Change Request Implemented, ,United States,COMPLETED,
2985652,CAS-3278128-L2R6Y5,Change Request Implemented, ,Mexico,COMPLETED,
2993192,CAS-3278167-S2C3L7,Change Request Implemented, ,United States,COMPLETED,
2985656,CAS-3278218-D0Q7M5,Change Request Implemented, ,Mexico,COMPLETED,
2993506,CAS-3278260-H5N7Q6,Change Request Implemented, ,United States,COMPLETED,
2993471,CAS-3278261-V2Z0K1,Change Request Implemented,Credits RDD 05 Nov,United States,COMPLETED,
2976794,CAS-3279229-S4V3Y0,Change Request Implemented,,United States,COMPLETED,
2989850,CAS-3279596-H9C6V2,Change Request Implemented,Base issue,Malaysia,COMPLETED,
2992565,CAS-3279943-N4R4Z0,Change Request Implemented,1,Japan,COMPLETED,
2994255,CAS-3280025-V9L4H8,Change Request Implemented,closed,Thailand,COMPLETED,
2992588,CAS-3280301-Y0P9X0,Change Request Implemented,1,Japan,COMPLETED,
2992602,CAS-3280912-F4T0W5,Change Request Implemented,1,Japan,COMPLETED,
2995713,CAS-3284064-F8X5H2,Change Request Implemented,,Turkey,COMPLETED,
2992723,CAS-3281053-J3Y6Z1,Change Request Implemented,1,Japan,COMPLETED,
2992736,CAS-3281311-X3V0X8,Change Request Implemented,1,Japan,COMPLETED,
2992743,CAS-3281475-V4J8D6,Change Request Implemented,1,Japan,COMPLETED,
2994364,CAS-3281542-C4M9P7,Change Request Implemented,,India,COMPLETED,
2994401,CAS-3281574-W6R7D5,Change Request Implemented,,India,COMPLETED,
2992752,CAS-3281602-T7G5L5,Change Request Implemented,1,Japan,COMPLETED,
2992759,CAS-3281714-B5R7S2,Change Request Implemented,1,Japan,COMPLETED,
2992768,CAS-3281921-Y5T9K3,Change Request Implemented,1,Japan,COMPLETED,
2992777,CAS-3282076-N5D8M1,Change Request Implemented,1,Japan,COMPLETED,
2992778,CAS-3282221-V4S4K6,Change Request Implemented,1,Japan,COMPLETED,
2992791,CAS-3282301-Y0G3X8,Change Request Implemented,1,Japan,COMPLETED,
2992805,CAS-3282364-H2V7C7,Change Request Implemented,1,Japan,COMPLETED,
2995775,CAS-3283745-F4S7X0,Change Request Implemented, ,Germany,COMPLETED,
2995786,CAS-3284221-N9B5Q3,Change Request Implemented, ,Germany,COMPLETED,
2993530,CAS-3284355-J1W0V1,Change Request Implemented, ,United States,COMPLETED,
2995790,CAS-3284456-L9Q2W3,Change Request Implemented, ,Ireland,COMPLETED,
2993477,CAS-3285067-T7B7P9,Change Request Implemented,,United States,COMPLETED,
2993479,CAS-3285254-P8H3S1,Change Request Implemented,,United States,COMPLETED,
224455,CAS-3285839-M7M0X1,Change Request Implemented,EXCEPTION RAISED,United States,COMPLETED,
2993486,CAS-3286022-D1M1Y9,Change Request Implemented,,United States,COMPLETED,
2993531,CAS-3286165-M9Q6Z5,Change Request Implemented, ,United States,COMPLETED,
2993489,CAS-3286309-X1R8M1,Change Request Implemented, ,Canada,COMPLETED,
2993533,CAS-3286652-X6K9H6,Change Request Implemented, ,United States,COMPLETED,
2993534,CAS-3286663-L4P7X6,Change Request Implemented, ,United States,COMPLETED,
2985657,CAS-3286780-S7J7F1,Change Request Implemented, ,Argentina,COMPLETED,
2993536,CAS-3287155-Y9G7D2,Change Request Implemented, ,United States,COMPLETED,
2993537,CAS-3287175-B7Y9V9,Change Request Implemented, ,United States,COMPLETED,
2976801,CAS-3287174-Q0D0V8,Change Request Implemented,,United States,COMPLETED,
2942143,CAS-3294583-B4J6F5,Change Request Implemented,,Taiwan,COMPLETED,
2992814,CAS-3294649-V0S5B3,Change Request Implemented,1,Japan,COMPLETED,
